"Soort bromfiets";"Perioden";"Regio's";"Voertuigen met bromfietskenteken (aantal)";"Voertuigen per 1000 inwoners (aantal)"
"Voertuigen met bromfietskenteken";"2007";"Aa en Hunze";"831";"33"
"Voertuigen met bromfietskenteken";"2008";"Aa en Hunze";"914";"36"
"Voertuigen met bromfietskenteken";"2009";"Aa en Hunze";"1051";"41"
"Voertuigen met bromfietskenteken";"2010";"Aa en Hunze";"1177";"46"
"Voertuigen met bromfietskenteken";"2011";"Aa en Hunze";"1230";"48"
"Voertuigen met bromfietskenteken";"2012";"Aa en Hunze";"1219";"47"
"Voertuigen met bromfietskenteken";"2013";"Aa en Hunze";"1223";"48"
"Voertuigen met bromfietskenteken";"2014";"Aa en Hunze";"1266";"50"
"Voertuigen met bromfietskenteken";"2015";"Aa en Hunze";"1288";"51"
"Voertuigen met bromfietskenteken";"2016";"Aa en Hunze";"1339";"53"
"Voertuigen met bromfietskenteken";"2017";"Aa en Hunze";"1382";"55"
"Voertuigen met bromfietskenteken";"2007";"Aalburg";"799";"65"
"Voertuigen met bromfietskenteken";"2008";"Aalburg";"805";"65"
"Voertuigen met bromfietskenteken";"2009";"Aalburg";"844";"67"
"Voertuigen met bromfietskenteken";"2010";"Aalburg";"904";"72"
"Voertuigen met bromfietskenteken";"2011";"Aalburg";"955";"75"
"Voertuigen met bromfietskenteken";"2012";"Aalburg";"992";"78"
"Voertuigen met bromfietskenteken";"2013";"Aalburg";"998";"78"
"Voertuigen met bromfietskenteken";"2014";"Aalburg";"978";"76"
"Voertuigen met bromfietskenteken";"2015";"Aalburg";"994";"77"
"Voertuigen met bromfietskenteken";"2016";"Aalburg";"1046";"80"
"Voertuigen met bromfietskenteken";"2017";"Aalburg";"1081";"83"
"Voertuigen met bromfietskenteken";"2007";"Aalsmeer";"1588";"63"
"Voertuigen met bromfietskenteken";"2008";"Aalsmeer";"1873";"71"
"Voertuigen met bromfietskenteken";"2009";"Aalsmeer";"2254";"80"
"Voertuigen met bromfietskenteken";"2010";"Aalsmeer";"2496";"86"
"Voertuigen met bromfietskenteken";"2011";"Aalsmeer";"2738";"91"
"Voertuigen met bromfietskenteken";"2012";"Aalsmeer";"2881";"95"
"Voertuigen met bromfietskenteken";"2013";"Aalsmeer";"2985";"97"
"Voertuigen met bromfietskenteken";"2014";"Aalsmeer";"3116";"101"
"Voertuigen met bromfietskenteken";"2015";"Aalsmeer";"3169";"102"
"Voertuigen met bromfietskenteken";"2016";"Aalsmeer";"3273";"105"
"Voertuigen met bromfietskenteken";"2017";"Aalsmeer";"3318";"106"
"Voertuigen met bromfietskenteken";"2007";"Aalten";"979";"36"
"Voertuigen met bromfietskenteken";"2008";"Aalten";"1024";"37"
"Voertuigen met bromfietskenteken";"2009";"Aalten";"1075";"39"
"Voertuigen met bromfietskenteken";"2010";"Aalten";"1098";"40"
"Voertuigen met bromfietskenteken";"2011";"Aalten";"1169";"43"
"Voertuigen met bromfietskenteken";"2012";"Aalten";"1174";"43"
"Voertuigen met bromfietskenteken";"2013";"Aalten";"1223";"45"
"Voertuigen met bromfietskenteken";"2014";"Aalten";"1231";"46"
"Voertuigen met bromfietskenteken";"2015";"Aalten";"1270";"47"
"Voertuigen met bromfietskenteken";"2016";"Aalten";"1300";"48"
"Voertuigen met bromfietskenteken";"2017";"Aalten";"1316";"49"
"Voertuigen met bromfietskenteken";"2007";"Abcoude";"259";"30"
"Voertuigen met bromfietskenteken";"2008";"Abcoude";"348";"40"
"Voertuigen met bromfietskenteken";"2009";"Abcoude";"414";"48"
"Voertuigen met bromfietskenteken";"2010";"Abcoude";"484";"55"
"Voertuigen met bromfietskenteken";"2011";"Abcoude";"";""
"Voertuigen met bromfietskenteken";"2012";"Abcoude";"";""
"Voertuigen met bromfietskenteken";"2013";"Abcoude";"";""
"Voertuigen met bromfietskenteken";"2014";"Abcoude";"";""
"Voertuigen met bromfietskenteken";"2015";"Abcoude";"";""
"Voertuigen met bromfietskenteken";"2016";"Abcoude";"";""
"Voertuigen met bromfietskenteken";"2017";"Abcoude";"";""
"Voertuigen met bromfietskenteken";"2007";"Achtkarspelen";"1476";"52"
"Voertuigen met bromfietskenteken";"2008";"Achtkarspelen";"1561";"56"
"Voertuigen met bromfietskenteken";"2009";"Achtkarspelen";"1626";"58"
"Voertuigen met bromfietskenteken";"2010";"Achtkarspelen";"1753";"62"
"Voertuigen met bromfietskenteken";"2011";"Achtkarspelen";"1953";"69"
"Voertuigen met bromfietskenteken";"2012";"Achtkarspelen";"2059";"73"
"Voertuigen met bromfietskenteken";"2013";"Achtkarspelen";"2124";"76"
