"Bronnen";"Perioden";"Emissies/Emissie CO/Totaal (mln kg)";"Emissies/Emissie CO/Bebouwde kom (mln kg)";"Emissies/Emissie CO/Buitenwegen (mln kg)";"Emissies/Emissie CO/Autosnelwegen (mln kg)";"Emissies/Emissie VOS totaal/Totaal (mln kg)";"Emissies/Emissie VOS totaal/Bebouwde kom (mln kg)";"Emissies/Emissie VOS totaal/Buitenwegen (mln kg)";"Emissies/Emissie VOS totaal/Autosnelwegen (mln kg)";"Emissies/Emissie VOS door verbranding/Totaal (mln kg)";"Emissies/Emissie VOS door verbranding/Bebouwde kom (mln kg)";"Emissies/Emissie VOS door verbranding/Buitenwegen (mln kg)";"Emissies/Emissie VOS door verbranding/Autosnelwegen (mln kg)";"Emissies/Emissie NOx/Totaal (mln kg)";"Emissies/Emissie NOx/Bebouwde kom (mln kg)";"Emissies/Emissie NOx/Buitenwegen (mln kg)";"Emissies/Emissie NOx/Autosnelwegen (mln kg)";"Emissies/Emissie PM10 door verbranding/Totaal (mln kg)";"Emissies/Emissie PM10 door verbranding/Bebouwde kom (mln kg)";"Emissies/Emissie PM10 door verbranding/Buitenwegen (mln kg)";"Emissies/Emissie PM10 door verbranding/Autosnelwegen (mln kg)";"Emissies/Emissie SO2/Totaal (mln kg)";"Emissies/Emissie SO2/Bebouwde kom (mln kg)";"Emissies/Emissie SO2/Buitenwegen (mln kg)";"Emissies/Emissie SO2/Autosnelwegen (mln kg)";"Emissies/Emissie CO2/Totaal (mln kg)";"Emissies/Emissie CO2/Bebouwde kom (mln kg)";"Emissies/Emissie CO2/Buitenwegen (mln kg)";"Emissies/Emissie CO2/Autosnelwegen (mln kg)";"Emissies/Emissie N2O/Totaal (mln kg)";"Emissies/Emissie N2O/Bebouwde kom (mln kg)";"Emissies/Emissie N2O/Buitenwegen (mln kg)";"Emissies/Emissie N2O/Autosnelwegen (mln kg)";"Emissies/Emissie CH4/Totaal (mln kg)";"Emissies/Emissie CH4/Bebouwde kom (mln kg)";"Emissies/Emissie CH4/Buitenwegen (mln kg)";"Emissies/Emissie CH4/Autosnelwegen (mln kg)";"Parkemissiefactoren/Parkemissiefactoren CO/Totaal (gram/km)";"Parkemissiefactoren/Parkemissiefactoren CO/Bebouwde kom (gram/km)";"Parkemissiefactoren/Parkemissiefactoren CO/Buitenwegen (gram/km)";"Parkemissiefactoren/Parkemissiefactoren CO/Autosnelwegen (gram/km)";"Parkemissiefactoren/Parkemissiefactoren VOS-verbranding/Totaal (gram/km)";"Parkemissiefactoren/Parkemissiefactoren VOS-verbranding/Bebouwde kom (gram/km)";"Parkemissiefactoren/Parkemissiefactoren VOS-verbranding/Buitenwegen (gram/km)";"Parkemissiefactoren/Parkemissiefactoren VOS-verbranding/Autosnelwegen (gram/km)";"Parkemissiefactoren/Parkemissiefactoren NOx/Totaal (gram/km)";"Parkemissiefactoren/Parkemissiefactoren NOx/Bebouwde kom (gram/km)";"Parkemissiefactoren/Parkemissiefactoren NOx/Buitenwegen (gram/km)";"Parkemissiefactoren/Parkemissiefactoren NOx/Autosnelwegen (gram/km)";"Parkemissiefactoren/Parkemissiefactoren PM10-verbranding/Totaal (gram/km)";"Parkemissiefactoren/Parkemissiefactoren PM10-verbranding/Bebouwde kom (gram/km)";"Parkemissiefactoren/Parkemissiefactoren PM10-verbranding/Buitenwegen (gram/km)";"Parkemissiefactoren/Parkemissiefactoren PM10-verbranding/Autosnelwegen (gram/km)";"Parkemissiefactoren/Parkemissiefactoren SO2/Totaal (gram/km)";"Parkemissiefactoren/Parkemissiefactoren SO2/Bebouwde kom (gram/km)";"Parkemissiefactoren/Parkemissiefactoren SO2/Buitenwegen (gram/km)";"Parkemissiefactoren/Parkemissiefactoren SO2/Autosnelwegen (gram/km)";"Parkemissiefactoren/Parkemissiefactoren CO2/Totaal (gram/km)";"Parkemissiefactoren/Parkemissiefactoren CO2/Bebouwde kom (gram/km)";"Parkemissiefactoren/Parkemissiefactoren CO2/Buitenwegen (gram/km)";"Parkemissiefactoren/Parkemissiefactoren CO2/Autosnelwegen (gram/km)";"Parkemissiefactoren/Parkemissiefactoren N2O/Totaal (gram/km)";"Parkemissiefactoren/Parkemissiefactoren N2O/Bebouwde kom (gram/km)";"Parkemissiefactoren/Parkemissiefactoren N2O/Buitenwegen (gram/km)";"Parkemissiefactoren/Parkemissiefactoren N2O/Autosnelwegen (gram/km)";"Parkemissiefactoren/Parkemissiefactoren CH4/Totaal (gram/km)";"Parkemissiefactoren/Parkemissiefactoren CH4/Bebouwde kom (gram/km)";"Parkemissiefactoren/Parkemissiefactoren CH4/Buitenwegen (gram/km)";"Parkemissiefactoren/Parkemissiefactoren CH4/Autosnelwegen (gram/km)"
"Bromfietsen";"1980";"    19.2";"    17.3";"     1.9";"";"   15.98";"   14.60";"    1.37";"";"   11.52";"   10.37";"    1.15";"";"    0.10";"    0.09";"    0.01";"";"    0.08";"    0.07";"    0.01";"";"    0.01";"    0.01";"    0.00";"";"     101";"      91";"      10";"";"    0.00";"    0.00";"    0.00";"";"    0.58";"    0.52";"    0.06";"";"    10.0";"    10.0";"    10.0";"";"    6.00";"    6.00";"    6.00";"";"     0.1";"     0.1";"     0.1";"";"   0.040";"   0.040";"   0.040";"";"   0.008";"   0.008";"   0.008";"";"      53";"      53";"      53";"";"   0.001";"   0.001";"   0.001";"";"   0.300";"   0.300";"   0.300";""
"Bromfietsen";"1985";"    17.1";"    15.4";"     1.7";"";"   13.18";"   12.01";"    1.17";"";"   10.26";"    9.23";"    1.03";"";"    0.09";"    0.08";"    0.01";"";"    0.07";"    0.06";"    0.01";"";"    0.01";"    0.01";"    0.00";"";"      90";"      81";"       9";"";"    0.00";"    0.00";"    0.00";"";"    0.51";"    0.46";"    0.05";"";"    10.0";"    10.0";"    10.0";"";"    6.00";"    6.00";"    6.00";"";"     0.1";"     0.1";"     0.1";"";"   0.040";"   0.040";"   0.040";"";"   0.008";"   0.008";"   0.008";"";"      53";"      53";"      53";"";"   0.001";"   0.001";"   0.001";"";"   0.300";"   0.300";"   0.300";""
"Bromfietsen";"1990";"    24.7";"    18.1";"     6.6";"";"   25.24";"   18.46";"    6.77";"";"   25.01";"   18.26";"    6.75";"";"    0.19";"    0.14";"    0.05";"";"    0.34";"    0.25";"    0.09";"";"    0.03";"    0.02";"    0.01";"";"     217";"     156";"      61";"";"    0.00";"    0.00";"    0.00";"";"    1.25";"    0.91";"    0.34";"";"    14.5";"    14.5";"    14.4";"";"   14.64";"   14.64";"   14.64";"";"     0.1";"     0.1";"     0.1";"";"   0.200";"   0.200";"   0.200";"";"   0.019";"   0.019";"   0.020";"";"     127";"     125";"     132";"";"   0.001";"   0.001";"   0.001";"";"   0.732";"   0.732";"   0.732";""
"Bromfietsen";"1991";"    18.9";"    13.7";"     5.2";"";"   19.37";"   14.06";"    5.31";"";"   19.19";"   13.90";"    5.29";"";"    0.14";"    0.11";"    0.04";"";"    0.26";"    0.19";"    0.07";"";"    0.02";"    0.02";"    0.01";"";"     165";"     117";"      47";"";"    0.00";"    0.00";"    0.00";"";"    0.96";"    0.69";"    0.26";"";"    14.4";"    14.5";"    14.4";"";"   14.64";"   14.64";"   14.64";"";"     0.1";"     0.1";"     0.1";"";"   0.200";"   0.200";"   0.200";"";"   0.017";"   0.017";"   0.018";"";"     126";"     124";"     131";"";"   0.001";"   0.001";"   0.001";"";"   0.732";"   0.732";"   0.732";""
"Bromfietsen";"1992";"    18.9";"    13.6";"     5.3";"";"   19.33";"   13.94";"    5.39";"";"   19.15";"   13.78";"    5.37";"";"    0.14";"    0.11";"    0.04";"";"    0.26";"    0.19";"    0.07";"";"    0.02";"    0.01";"    0.01";"";"     163";"     116";"      48";"";"    0.00";"    0.00";"    0.00";"";"    0.96";"    0.69";"    0.27";"";"    14.4";"    14.5";"    14.4";"";"   14.64";"   14.64";"   14.64";"";"     0.1";"     0.1";"     0.1";"";"   0.200";"   0.200";"   0.200";"";"   0.015";"   0.014";"   0.015";"";"     125";"     123";"     130";"";"   0.001";"   0.001";"   0.001";"";"   0.732";"   0.732";"   0.732";""
"Bromfietsen";"1993";"    18.9";"    13.5";"     5.4";"";"   19.33";"   13.86";"    5.47";"";"   19.15";"   13.70";"    5.46";"";"    0.14";"    0.10";"    0.04";"";"    0.26";"    0.19";"    0.07";"";"    0.02";"    0.01";"    0.00";"";"     162";"     114";"      48";"";"    0.00";"    0.00";"    0.00";"";"    0.96";"    0.68";"    0.27";"";"    14.4";"    14.4";"    14.4";"";"   14.64";"   14.64";"   14.64";"";"     0.1";"     0.1";"     0.1";"";"   0.200";"   0.200";"   0.200";"";"   0.012";"   0.012";"   0.013";"";"     124";"     122";"     129";"";"   0.001";"   0.001";"   0.001";"";"   0.732";"   0.732";"   0.732";""
"Bromfietsen";"1994";"    19.3";"    13.8";"     5.5";"";"   19.82";"   14.14";"    5.67";"";"   19.63";"   13.98";"    5.66";"";"    0.14";"    0.11";"    0.04";"";"    0.27";"    0.19";"    0.08";"";"    0.01";"    0.01";"    0.00";"";"     165";"     116";"      49";"";"    0.00";"    0.00";"    0.00";"";"    0.98";"    0.70";"    0.28";"";"    14.4";"    14.4";"    14.4";"";"   14.64";"   14.64";"   14.64";"";"     0.1";"     0.1";"     0.1";"";"   0.200";"   0.200";"   0.200";"";"   0.010";"   0.010";"   0.010";"";"     123";"     121";"     128";"";"   0.001";"   0.001";"   0.001";"";"   0.732";"   0.732";"   0.732";""
"Bromfietsen";"1995";"    19.1";"    13.6";"     5.5";"";"   19.61";"   13.95";"    5.66";"";"   19.41";"   13.77";"    5.64";"";"    0.14";"    0.10";"    0.04";"";"    0.27";"    0.19";"    0.08";"";"    0.01";"    0.01";"    0.00";"";"     163";"     114";"      49";"";"    0.00";"    0.00";"    0.00";"";"    0.97";"    0.69";"    0.28";"";"    14.4";"    14.4";"    14.3";"";"   14.60";"   14.61";"   14.57";"";"     0.1";"     0.1";"     0.1";"";"   0.200";"   0.200";"   0.199";"";"   0.008";"   0.008";"   0.009";"";"     123";"     121";"     127";"";"   0.001";"   0.001";"   0.001";"";"   0.730";"   0.731";"   0.728";""
"Bromfietsen";"1996";"    19.1";"    13.6";"     5.5";"";"   19.61";"   13.93";"    5.68";"";"   19.41";"   13.75";"    5.66";"";"    0.14";"    0.11";"    0.04";"";"    0.27";"    0.19";"    0.08";"";"    0.01";"    0.01";"    0.00";"";"     163";"     114";"      49";"";"    0.00";"    0.00";"    0.00";"";"    0.97";"    0.69";"    0.28";"";"    14.3";"    14.4";"    14.2";"";"   14.55";"   14.58";"   14.49";"";"     0.1";"     0.1";"     0.1";"";"   0.199";"   0.200";"   0.198";"";"   0.006";"   0.006";"   0.007";"";"     123";"     121";"     127";"";"   0.001";"   0.001";"   0.001";"";"   0.728";"   0.729";"   0.725";""
"Bromfietsen";"1997";"    19.5";"    13.9";"     5.7";"";"   20.02";"   14.23";"    5.79";"";"   19.83";"   14.06";"    5.77";"";"    0.16";"    0.11";"    0.04";"";"    0.27";"    0.19";"    0.08";"";"    0.01";"    0.01";"    0.00";"";"     168";"     117";"      51";"";"    0.00";"    0.00";"    0.00";"";"    0.99";"    0.70";"    0.29";"";"    14.2";"    14.3";"    14.0";"";"   14.44";"   14.50";"   14.29";"";"     0.1";"     0.1";"     0.1";"";"   0.198";"   0.199";"   0.196";"";"   0.007";"   0.007";"   0.008";"";"     123";"     121";"     126";"";"   0.001";"   0.001";"   0.001";"";"   0.722";"   0.725";"   0.715";""
